ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:    3691        59.0147       210.7424       670.7148        10.5731         -10521.8816       672.7223         0.0000         0.0000         0.0000          -8898.1143         0.0000     -8898.1143     -8898.1143         0.0000            461.9387       461.3489   1000000.0000       461.9387       461.3489
ENERGY:    3692        60.4577       211.3351       670.8594        10.6012         -10523.2542       673.8996         0.0000         0.0000         0.0000          -8896.1011         0.0000     -8896.1011     -8896.1011         0.0000            462.8355       462.1602   1000000.0000       462.8355       462.1602
ENERGY:    3693        58.6097       210.6235       670.6692        10.5799         -10521.1171       672.3156         0.0000         0.0000         0.0000          -8898.3193         0.0000     -8898.3193     -8898.3193         0.0000            461.4916       460.9505   1000000.0000       461.4916       460.9505
ENERGY:    3694        58.6438       210.6314       670.6733        10.5787         -10521.1983       672.3534         0.0000         0.0000         0.0000          -8898.3176         0.0000     -8898.3176     -8898.3176         0.0000            461.5376       460.9913   1000000.0000       461.5376       460.9913
ENERGY:    3695        58.6130       210.6243       670.6696        10.5798         -10521.1254       672.3193         0.0000         0.0000         0.0000          -8898.3194         0.0000     -8898.3194     -8898.3194         0.0000            461.4961       460.9545   1000000.0000       461.4961       460.9545
ENERGY:    3696        58.6127       210.6242       670.6695        10.5798         -10521.1246       672.3190         0.0000         0.0000         0.0000          -8898.3194         0.0000     -8898.3194     -8898.3194         0.0000            461.4957       460.9541   1000000.0000       461.4957       460.9541
ENERGY:    3697        58.6124       210.6241       670.6695        10.5798         -10521.1238       672.3186         0.0000         0.0000         0.0000          -8898.3194         0.0000     -8898.3194     -8898.3194         0.0000            461.4953       460.9537   1000000.0000       461.4953       460.9537
ENERGY:    3698        58.6127       210.6242       670.6695        10.5798         -10521.1246       672.3190         0.0000         0.0000         0.0000          -8898.3194         0.0000     -8898.3194     -8898.3194         0.0000            461.4957       460.9541   1000000.0000       461.4957       460.9541
ENERGY:    3699        59.0772       211.0210       670.7572        10.5016         -10523.3556       673.5686         0.0000         0.0000         0.0000          -8898.4300         0.0000     -8898.4300     -8898.4300         0.0000            461.6830       461.0821   1000000.0000       461.6830       461.0821
ENERGY:    3700        60.2098       211.9496       670.9092        10.4761         -10525.0553       675.1901         0.0000         0.0000         0.0000          -8896.3206         0.0000     -8896.3206     -8896.3206         0.0000            461.7067       461.0540   1000000.0000       461.7067       461.0540
ENERGY:    3701        58.7862       210.7763       670.7101        10.5303         -10522.4175       672.9645         0.0000         0.0000         0.0000          -8898.6502         0.0000     -8898.6502     -8898.6502         0.0000            461.6201       461.0171   1000000.0000       461.6201       461.0171
ENERGY:    3702        58.8093       210.7959       670.7143        10.5269         -10522.5162       673.0217         0.0000         0.0000         0.0000          -8898.6481         0.0000     -8898.6481     -8898.6481         0.0000            461.6279       461.0224   1000000.0000       461.6279       461.0224
ENERGY:    3703        58.7885       210.7782       670.7105        10.5299         -10522.4274       672.9702         0.0000         0.0000         0.0000          -8898.6502         0.0000     -8898.6502     -8898.6502         0.0000            461.6209       461.0177   1000000.0000       461.6209       461.0177
ENERGY:    3704        58.7866       210.7766       670.7102        10.5302         -10522.4191       672.9654         0.0000         0.0000         0.0000          -8898.6502         0.0000     -8898.6502     -8898.6502         0.0000            461.6202       461.0172   1000000.0000       461.6202       461.0172
ENERGY:    3705        58.7868       210.7767       670.7102        10.5302         -10522.4199       672.9658         0.0000         0.0000         0.0000          -8898.6502         0.0000     -8898.6502     -8898.6502         0.0000            461.6203       461.0173   1000000.0000       461.6203       461.0173
ENERGY:    3706        58.7866       210.7766       670.7102        10.5302         -10522.4191       672.9654         0.0000         0.0000         0.0000          -8898.6502         0.0000     -8898.6502     -8898.6502         0.0000            461.6202       461.0172   1000000.0000       461.6202       461.0172
ENERGY:    3707        58.6633       211.2226       670.8927        10.4695         -10524.5097       674.6526         0.0000         0.0000         0.0000          -8898.6089         0.0000     -8898.6089     -8898.6089         0.0000            461.5413       461.0838   1000000.0000       461.5413       461.0838
ENERGY:    3708        58.6231       210.9112       670.7891        10.4897         -10523.4994       673.7362         0.0000         0.0000         0.0000          -8898.9501         0.0000     -8898.9501     -8898.9501         0.0000            461.6074       461.0704   1000000.0000       461.6074       461.0704
ENERGY:    3709        58.6172       210.9345       670.7985        10.4866         -10523.6077       673.8233         0.0000         0.0000         0.0000          -8898.9475         0.0000     -8898.9475     -8898.9475         0.0000            461.6028       461.0733   1000000.0000       461.6028       461.0733
ENERGY:    3710        58.6224       210.9134       670.7900        10.4894         -10523.5103       673.7449         0.0000         0.0000         0.0000          -8898.9501         0.0000     -8898.9501     -8898.9501         0.0000            461.6070       461.0954   1000000.0000       461.6070       461.0954
ENERGY:    3711        58.6227       210.9127       670.7897        10.4895         -10523.5070       673.7423         0.0000         0.0000         0.0000          -8898.9501         0.0000     -8898.9501     -8898.9501         0.0000            461.6071       461.0953   1000000.0000       461.6071       461.0953
ENERGY:    3712        58.6224       210.9134       670.7900        10.4894         -10523.5103       673.7449         0.0000         0.0000         0.0000          -8898.9501         0.0000     -8898.9501     -8898.9501         0.0000            461.6070       461.0954   1000000.0000       461.6070       461.0954
ENERGY:    3713        58.3792       211.5217       671.0040        10.4842         -10525.6004       675.3669         0.0000         0.0000         0.0000          -8898.8445         0.0000     -8898.8445     -8898.8445         0.0000            462.8298       462.5316   1000000.0000       462.8298       462.5316
ENERGY:    3714        58.3991       211.1081       670.8780        10.4738         -10524.5487       674.4466         0.0000         0.0000         0.0000          -8899.2432         0.0000     -8899.2432     -8899.2432         0.0000            462.1974       461.7810   1000000.0000       462.1974       461.7810
ENERGY:    3715        58.3854       211.1404       670.8895        10.4734         -10524.6617       674.5336         0.0000         0.0000         0.0000          -8899.2394         0.0000     -8899.2394     -8899.2394         0.0000            462.2633       461.8584   1000000.0000       462.2633       461.8584
ENERGY:    3716        58.3976       211.1112       670.8792        10.4737         -10524.5601       674.4552         0.0000         0.0000         0.0000          -8899.2432         0.0000     -8899.2432     -8899.2432         0.0000            462.2040       461.7888   1000000.0000       462.2040       461.7888
ENERGY:    3717        58.3987       211.1088       670.8783        10.4737         -10524.5514       674.4486         0.0000         0.0000         0.0000          -8899.2432         0.0000     -8899.2432     -8899.2432         0.0000            462.1989       461.7828   1000000.0000       462.1989       461.7828
ENERGY:    3718        58.3991       211.1081       670.8780        10.4738         -10524.5487       674.4466         0.0000         0.0000         0.0000          -8899.2432         0.0000     -8899.2432     -8899.2432         0.0000            462.1974       461.7810   1000000.0000       462.1974       461.7810
ENERGY:    3719        58.5824       211.5743       670.8746        10.5088         -10526.9432       675.9839         0.0000         0.0000         0.0000          -8899.4192         0.0000     -8899.4192     -8899.4192         0.0000            463.5373       463.0883   1000000.0000       463.5373       463.0883
